('? Karambit | Case Hardened', '387', '1'),
('? Karambit | Case Hardened', '888', '1'),
('? Karambit | Case Hardened', '853', '1'),
('? Karambit | Case Hardened', '442', '1'),
('? Karambit | Case Hardened', '269', '1'),
('? Karambit | Case Hardened', '776', '1'),
('? Karambit | Case Hardened', '809', '1'),
('? Karambit | Case Hardened', '470', '1'),
('? Karambit | Case Hardened', '905', '1'),
('? Karambit | Case Hardened', '902', '1'),
('? Karambit | Case Hardened', '698', '1'),
('? Karambit | Case Hardened', '463', '1'),
('? Karambit | Case Hardened', '73', '1'),
('? Karambit | Case Hardened', '510', '1'),
('? Karambit | Case Hardened', '4', '2'),
('? Karambit | Case Hardened', '9', '4'),
('? Karambit | Case Hardened', '11', '3'),
('? Karambit | Case Hardened', '20', '3'),
('? Karambit | Case Hardened', '25', '3'),
('? Karambit | Case Hardened', '30', '3'),
('? Karambit | Case Hardened', '34', '2'),
('? Karambit | Case Hardened', '38', '4'),
('? Karambit | Case Hardened', '42', '4'),
('? Karambit | Case Hardened', '57', '3'),
('? Karambit | Case Hardened', '59', '2'),
('? Karambit | Case Hardened', '74', '2'),
('? Karambit | Case Hardened', '82', '2'),
('? Karambit | Case Hardened', '88', '4'),
('? Karambit | Case Hardened', '92', '3'),
('? Karambit | Case Hardened', '106', '4'),
('? Karambit | Case Hardened', '112', '3'),
('? Karambit | Case Hardened', '117', '4'),
('? Karambit | Case Hardened', '122', '4'),
('? Karambit | Case Hardened', '130', '2'),
('? Karambit | Case Hardened', '138', '3'),
('? Karambit | Case Hardened', '139', '2'),
('? Karambit | Case Hardened', '150', '2'),
('? Karambit | Case Hardened', '152', '2'),
('? Karambit | Case Hardened', '156', '3'),
('? Karambit | Case Hardened', '179', '3'),
('? Karambit | Case Hardened', '182', '3'),
('? Karambit | Case Hardened', '194', '4'),
('? Karambit | Case Hardened', '205', '4'),
('? Karambit | Case Hardened', '216', '3'),
('? Karambit | Case Hardened', '233', '3'),
('? Karambit | Case Hardened', '236', '2'),
('? Karambit | Case Hardened', '239', '3'),
('? Karambit | Case Hardened', '246', '4'),
('? Karambit | Case Hardened', '249', '4'),
('? Karambit | Case Hardened', '253', '4'),
